attr_type,basin3d_vocab,datasource_vocab,datasource_desc
OBSERVED_PROPERTY:SAMPLING_MEDIUM,ACT:WATER,Acetate,acetate
OBSERVED_PROPERTY:SAMPLING_MEDIUM,Ag:WATER,Ag,sliver concentration in water
OBSERVED_PROPERTY:SAMPLING_MEDIUM,Ag:GAS,Ag_gas,silver concentration vaporized (bogus)
OBSERVED_PROPERTY:SAMPLING_MEDIUM,Al:WATER,Aluminum,aluminum concentration in water
OBSERVED_PROPERTY:SAMPLING_MEDIUM,As:SOLID_PHASE,As,arsenic in soil
STATISTIC,MEAN,mean,
STATISTIC,MAX,max,
STATISTIC,MIN,min,
RESULT_QUALITY,VALIDATED,VALIDATED,
RESULT_QUALITY,UNVALIDATED,UNVALIDATED,
RESULT_QUALITY,REJECTED,REJECTED,
AGGREGATION_DURATION,DAY,DAY,
